theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.45263157894736844,-5.947368421052632,0.528462,5.0,0.16248654906776452,0.0,0.0,0.089,0.004,0.305,1.763,0.069,0.274,0.062
0.46842105263157896,-5.947368421052632,0.510857,5.0,0.17666514343050227,0.0,0.0,0.09,0.004,0.319,1.763,0.069,0.289,0.069
0.4842105263157895,-5.947368421052632,0.494385,5.0,0.19187126981443367,0.0,0.0,0.091,0.004,0.333,1.763,0.069,0.305,0.076
0.5,-5.947368421052632,0.478613,5.0,0.20818998436498284,0.0,0.0,0.092,0.004,0.349,1.763,0.069,0.323,0.084
0.2,-5.7368421052631575,1.189051,5.0,0.032091613310818445,0.0,0.0,0.068,0.004,0.192,1.795,0.076,0.117,0.015
0.21578947368421053,-5.7368421052631575,1.103678,5.0,0.03767868251370133,0.0,0.0,0.071,0.004,0.198,1.795,0.076,0.127,0.017
0.23157894736842105,-5.7368421052631575,1.029701,5.0,0.04367391271263241,0.0,0.0,0.075,0.004,0.205,1.795,0.076,0.137,0.018
0.2473684210526316,-5.7368421052631575,0.96505,5.0,0.050092536731918456,0.0,0.0,0.078,0.004,0.211,1.795,0.076,0.147,0.02
0.26315789473684215,-5.7368421052631575,0.908726,5.0,0.05695393637387633,0.0,0.0,0.08,0.004,0.219,1.795,0.076,0.157,0.022
0.2789473684210526,-5.7368421052631575,0.858476,5.0,0.06428139110523245,0.0,0.0,0.083,0.004,0.226,1.795,0.076,0.168,0.025
0.2947368421052632,-5.7368421052631575,0.812816,5.0,0.07210198676427736,0.0,0.0,0.085,0.004,0.234,1.795,0.076,0.178,0.027
0.3105263157894737,-5.7368421052631575,0.772133,5.0,0.08044658560086962,0.0,0.0,0.087,0.004,0.243,1.795,0.076,0.189,0.03
0.3263157894736842,-5.7368421052631575,0.735341,5.0,0.08934991570708452,0.0,0.0,0.089,0.004,0.252,1.795,0.076,0.201,0.033
0.34210526315789475,-5.7368421052631575,0.701907,5.0,0.09885070103287172,0.0,0.0,0.091,0.004,0.261,1.795,0.076,0.212,0.037
0.35789473684210527,-5.7368421052631575,0.67139,5.0,0.10899185579077333,0.0,0.0,0.093,0.004,0.271,1.795,0.076,0.225,0.04
0.37368421052631584,-5.7368421052631575,0.64342,5.0,0.11982074205128589,0.0,0.0,0.094,0.004,0.282,1.795,0.076,0.237,0.045
0.3894736842105263,-5.7368421052631575,0.617682,5.0,0.13138944771886646,0.0,0.0,0.095,0.004,0.293,1.795,0.076,0.251,0.049
0.4052631578947369,-5.7368421052631575,0.593947,5.0,0.14375501255114617,0.0,0.0,0.097,0.004,0.305,1.795,0.076,0.265,0.055
